Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:12E.8,"urn:cite:hmt:vaimg.VA156VN-0658@0.2465,0.5973,0.2002,0.0661",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msA.hmt:12E.9,"urn:cite:hmt:vaimg.VA156VN-0658@0.2781,0.7274,0.6697,0.0532",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msA.hmt:12E.10,"urn:cite:hmt:vaimg.VA157VN-0659@0.2386,0.1287,0.6786,0.0309",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.11,"urn:cite:hmt:vaimg.VA157VN-0659@0.2362,0.1427,0.6786,0.0284",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.12,"urn:cite:hmt:vaimg.VA157VN-0659@0.2322,0.1687,0.6834,0.0351",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.13,"urn:cite:hmt:vaimg.VA157VN-0659@0.2418,0.1995,0.633,0.0157",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.14,"urn:cite:hmt:vaimg.VA157VN-0659@0.2422,0.3862,0.1853,0.042",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.15,"urn:cite:hmt:vaimg.VA157VN-0659@0.239,0.425,0.2192,0.0854",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.16,"urn:cite:hmt:vaimg.VA157VN-0659@0.243,0.5086,0.2192,0.023",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.17,"urn:cite:hmt:vaimg.VA157VN-0659@0.2465,0.5306,0.2192,0.0363",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.18,"urn:cite:hmt:vaimg.VA157VN-0659@0.2449,0.5669,0.2192,0.0624",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.19,"urn:cite:hmt:vaimg.VA157VN-0659@0.2503,0.6154,0.2192,0.0367",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.20,"urn:cite:hmt:vaimg.VA157VN-0659@0.2544,0.6505,0.6819,0.1134",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msA.hmt:12E.21,"urn:cite:hmt:vaimg.VA157VN-0659@0.2648,0.7439,0.6716,0.0337",urn:cite:hmt:msA.157v
